sitetype,lat,lon,zip,plus4
Lodging,47.66162825,-122.30919012,98105,4204
Lodging,47.661573250000004,-122.30869585,98105,4279
Lodging,47.66251957,-122.30868156,98105,4277
Lodging,47.66279005,-122.30867745,98105,4205
Lodging,47.66171945,-122.31013076,98105,4203
Lodging,47.6621191,-122.31002689,98105,4203
Lodging,47.66236588,-122.31016922,98105,4203
Lodging,47.66254712,-122.31002044,98105,4203
Lodging,47.66282578,-122.31001626,98105,4203
Lodging,47.66343589,-122.31114324,98105,4208
Lodging,47.66326296,-122.31000962,98105,4220
Lodging,47.66353701,-122.3100055,98105,4210
Lodging,47.6641793,-122.30871838,98105,4214
Lodging,47.66330444,-122.30803434,98105,3315
Lodging,47.66330143,-122.30753337,98105,3315
Lodging,47.66329641,-122.3068738,98105,3305
Lodging,47.66154414,-122.31456885,98105,4508
Lodging,47.61678571,-122.32478711,98122,2135
Lodging,47.71220847,-122.17657946,98034,7507
Lodging,47.60980876,-122.3268661,98104,1216
Lodging,47.49556928,-121.78777163,98045,8196
Lodging,47.44905084,-122.29555117,98188,3526
Lodging,47.44913423,-122.29497169,98188,3526
Lodging,47.58091738,-122.15419456,98005,4072
Lodging,47.61279881,-122.19291743,98004,5850
Lodging,47.57219549,-122.1030747,98008,5908
Lodging,47.57078223,-122.10545707,98008,5937
Lodging,47.57050323,-122.10357558,98008,5937
Lodging,47.57035415,-122.1037154,98008,5937
Lodging,47.57058376,-122.10371239,98008,5937
Lodging,47.57058655,-122.10417833,98008,5937
Lodging,47.57138351,-122.10282529,98008,5937
Lodging,47.57128141,-122.10401455,98008,5937
Lodging,47.57124545,-122.10364961,98008,5937
Lodging,47.30586377,-122.31256183,98003,6410
Lodging,47.31382196,-122.30112089,98003,6014
Lodging,47.30134903,-122.30989191,98003,8979
Lodging,47.30181969,-122.31256853,98003,6807
Lodging,47.30330913,-122.31257137,98003,6438
Lodging,47.56782018,-122.32289262,98108,5216
Lodging,47.52948364,-121.86978438,98065,5198
Lodging,47.47998506,-122.21251014,98057,2027
